pathogen,travel,culture,startyear,endyear,yearn,count_median,,,,,,,inc,Est IR,IRR,.value_median,ref_value_median,ref_count_median,population_median,ref_pop_median,pinc_median,pinc_LL,pinc_UL,ref.est.ir_median,ref.est.ir_LL,ref.est.ir_UL,ref.ir_median,rr_median,rr_LL,rr_UL,pct.change_median,pct.change_LL,pct.change_UL
SALMONELLA,Excluded,CxCIDT,2004,2006,2023,5700,,,,,,,11.18,"11.01 (10.24, 11.88)","1.21 (1.11, 1.32)",5614.464017,4094.878612,4090.333333,51000988,44811720.67,11.00853971,10.24428613,11.88083826,9.137963352,8.707576215,9.595052079,9.127820295,1.21,1.11,1.32,20.58,10.53,31.62875
CAMPYLOBACTER,Excluded,CxCIDT,2004,2006,2023,7608,,,,,,,14.92,"14.17 (13.07, 15.43)","2.84 (2.54, 3.15)",7224.696881,2239.71297,2266.666667,51000988,44811720.67,14.16579789,13.06700446,15.42628643,4.998051707,4.68643379,5.33956216,5.058200473,2.84,2.54,3.15,183.7,154.43,215.105
BRAENDERUP,Excluded,CxCIDT,2006,2008,2023,116,,,,,,,0.23,"0.21 (0.17, 0.27)","1.49 (1.14, 1.97)",109.275819,65.90328157,65,51000988,45830891.67,0.214262161,0.172281406,0.272396442,0.143796638,0.125255485,0.166529815,0.141825737,1.49,1.14,1.97,49.11,13.9025,97.35875
MUENCHEN,Excluded,CxCIDT,2006,2008,2023,103,,,,,,,0.2,"0.22 (0.18, 0.26)","1.02 (0.81, 1.28)",110.180777,97.3798513,110.3333333,51000988,45830891.67,0.216036554,0.179322249,0.263420019,0.212476449,0.190637364,0.238799755,0.240740098,1.02,0.81,1.28,1.625,-18.65,27.64875
MISSISSIPPI,Excluded,CxCIDT,2006,2008,2023,103,,,,,,,0.2,"0.22 (0.16, 0.32)","2.16 (1.52, 3.3)",110.4608497,46.02929776,47.66666667,51000988,45830891.67,0.216585706,0.159811198,0.323884501,0.100432909,0.084208379,0.121625592,0.104005541,2.16,1.52,3.3,115.605,51.82375,230.24
SAINTPAUL,Excluded,CxCIDT,2006,2008,2023,104,,,,,,,0.2,"0.23 (0.18, 0.32)","0.91 (0.67, 1.28)",118.870988,116.9598237,148,51000988,45830891.67,0.233075853,0.17867402,0.315321221,0.255198665,0.22017639,0.29831511,0.322926294,0.91,0.67,1.28,-8.535,-33.31625,28.30875
LISTERIA,Excluded,CxCIDT,2006,2008,2023,138,,,,,,,0.27,"0.26 (0.22, 0.31)","1.35 (1.11, 1.64)",131.7276839,88.00258571,87.66666667,51000988,45830891.67,0.258284573,0.21958869,0.305959435,0.192015871,0.172978015,0.213966932,0.191282917,1.35,1.11,1.64,34.53,10.52125,64.27
INFANTIS,Excluded,CxCIDT,2006,2008,2023,140,,,,,,,0.27,"0.32 (0.26, 0.4)","2.26 (1.79, 2.9)",164.0806185,65.12899858,61.33333333,51000988,45830891.67,0.32172047,0.263494198,0.396737263,0.142107204,0.123645418,0.163109447,0.133825311,2.26,1.79,2.9,125.85,79.25125,189.75875
"I 4,[5],12:i:-",Excluded,CxCIDT,2006,2008,2023,201,,,,,,,0.39,"0.43 (0.35, 0.52)","0.92 (0.74, 1.14)",216.926523,212.0903435,244.3333333,51000988,45830891.67,0.425337884,0.353021885,0.516724914,0.46276722,0.418453254,0.514081157,0.53311931,0.92,0.74,1.14,-8.22,-25.55,14.35875
STEC O157,Excluded,CxCIDT,2006,2008,2023,245,,,,,,,0.48,"0.49 (0.43, 0.57)","0.48 (0.41, 0.57)",251.9394243,467.6663753,504,51000988,45830891.67,0.493989301,0.429996888,0.571386944,1.020417361,0.947282549,1.100876675,1.099694947,0.48,0.41,0.57,-51.54,-58.7,-42.84
JAVIANA,Excluded,CxCIDT,2006,2008,2023,235,,,,,,,0.46,"0.56 (0.44, 0.73)","1.08 (0.82, 1.43)",286.2964903,238.3490715,218,51000988,45830891.67,0.561354792,0.442646242,0.72781946,0.520062043,0.455089937,0.600564164,0.475661703,1.08,0.82,1.43,8.155,-17.6575,42.8075
VIBRIO,Excluded,CxCIDT,2006,2008,2023,389,,,,,,,0.76,"0.82 (0.69, 0.99)","4.1 (3.29, 5.13)",418.1730797,91.65533194,93.33333333,51000988,45830891.67,0.819931331,0.69074786,0.98741534,0.199985923,0.176793715,0.228870069,0.203647212,4.1,3.29,5.13,309.59,229.17375,413.1875
CYCLOSPORA,Excluded,CxCIDT,2006,2008,2023,298,,,,,,,0.58,"0.94 (0.56, 2.16)","38.94 (19.16, 96.29)",481.1956034,11.15817189,9.666666667,51000988,45830891.67,0.943502513,0.562960148,2.163060946,0.024346399,0.016423084,0.039019245,0.021092033,38.935,19.16,96.28875,3793.655,1815.55625,9528.625
NEWPORT,Excluded,CxCIDT,2006,2008,2023,431,,,,,,,0.85,"0.95 (0.77, 1.19)","1 (0.79, 1.29)",482.9612025,434.1232327,405.6666667,51000988,45830891.67,0.946964405,0.773992464,1.186858052,0.947228424,0.850659454,1.060357641,0.885138063,1,0.79,1.29,-0.17,-20.55875,28.93875
TYPHIMURIUM,Excluded,CxCIDT,2006,2008,2023,416,,,,,,,0.82,"0.96 (0.85, 1.11)","0.55 (0.48, 0.64)",491.2741472,801.6600237,807,51000988,45830891.67,0.963263981,0.84684245,1.109692725,1.749169598,1.638592347,1.87163816,1.760821076,0.55,0.48,0.64,-44.91,-52.47,-35.73
STEC NONO157,Excluded,CxCIDT,2006,2008,2023,759,,,,,,,1.49,"1.47 (1.29, 1.69)","3.99 (3.39, 4.73)",750.3269323,168.8794237,173.6666667,51000988,45830891.67,1.471200778,1.288178132,1.689483243,0.368483827,0.334756974,0.407004939,0.378929278,3.99,3.39,4.73,299.14,239.21125,372.875
ENTERITIDIS,Excluded,CxCIDT,2006,2008,2023,995,,,,,,,1.95,"1.79 (1.6, 2)","1.07 (0.94, 1.22)",911.5401907,767.684857,756,51000988,45830891.67,1.787299083,1.601192957,2.003332776,1.675038013,1.565140788,1.800002687,1.649542421,1.07,0.94,1.22,6.76,-6.45875,22.0275
YERSINIA,Excluded,CxCIDT,2006,2008,2023,1016,,,,,,,1.99,"1.82 (1.56, 2.15)","10.06 (8.25, 12.38)",926.9112882,82.85196549,86.66666667,51000988,45830891.67,1.817437906,1.556598787,2.154242298,0.180777555,0.159579687,0.205511367,0.189100983,10.06,8.25,12.38,905.925,724.88,1138.23875
SHIGELLA,Excluded,CxCIDT,2006,2008,2023,1757,,,,,,,3.45,"3.16 (2.52, 4.11)","1.3 (0.98, 1.76)",1610.776545,1108.75772,1252.666667,51000988,45830891.67,3.158324197,2.520456784,4.108893153,2.419236631,2.078811254,2.873428285,2.733236516,1.3,0.98,1.76,30.35,-1.59875,76.44375
